C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/03,16:30:04,0000000421798422,DEMAND,0000000421798421
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",NSW1,636.482,0.6,SATELLITE,"2024/06/03 16:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",QLD1,863.056,0.6,SATELLITE,"2024/06/03 16:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",QLDC,86.013,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",QLDN,229.874,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",QLDS,547.169,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",SA1,222.238,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",TAS1,11.51,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",TASN,7.192,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",TASS,4.318,0.6,SATELLITE,"2024/06/03 16:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/03 16:00:00",VIC1,306.94,0.6,SATELLITE,"2024/06/03 16:20:25"
C,"END OF REPORT",13
