C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/30,17:30:02,0000000421368839,DEMAND,0000000421368838
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",NSW1,26.129,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",QLD1,115.812,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",QLDC,11.374,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",QLDN,58.441,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",QLDS,45.997,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",SA1,155.939,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",TAS1,0.207,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",TASN,0.148,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",TASS,0.06,0.6,SATELLITE,"2024/05/30 17:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 17:00:00",VIC1,28.17,0.6,SATELLITE,"2024/05/30 17:20:24"
C,"END OF REPORT",13
