C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/15,18:00:02,0000000423146423,DEMAND,0000000423146422
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",NSW1,0.101,0.6,SATELLITE,"2024/06/15 17:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",QLD1,26.71,0.6,SATELLITE,"2024/06/15 17:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",QLDC,0.298,0.6,SATELLITE,"2024/06/15 17:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",QLDN,26.181,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",QLDS,0.232,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",SA1,33.224,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",TAS1,0,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",TASN,0,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",TASS,0,0.6,SATELLITE,"2024/06/15 17:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/15 17:30:00",VIC1,0.897,0.6,SATELLITE,"2024/06/15 17:50:24"
C,"END OF REPORT",13
