C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/12,14:00:02,0000000422788687,DEMAND,0000000422788686
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",NSW1,1909.007,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",QLD1,2629.068,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",QLDC,255.452,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",QLDN,504.616,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",QLDS,1869,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",SA1,784.597,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",TAS1,67.604,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",TASN,42.21,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",TASS,25.394,0.6,SATELLITE,"2024/06/12 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/12 13:30:00",VIC1,938.837,0.6,SATELLITE,"2024/06/12 13:50:23"
C,"END OF REPORT",13
