C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,13:30:02,0000000423457258,DEMAND,0000000423457257
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",NSW1,2519.505,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",QLD1,2761.519,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",QLDC,272.198,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",QLDN,488.793,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",QLDS,2000.528,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",SA1,370.514,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",TAS1,75.588,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",TASN,47.764,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",TASS,27.824,0.6,SATELLITE,"2024/06/18 13:20:25"
D,ROOFTOP,ACTUAL,2,"2024/06/18 13:00:00",VIC1,1321.57,0.6,SATELLITE,"2024/06/18 13:20:25"
C,"END OF REPORT",13
