C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/01,10:00:02,0000000421555947,DEMAND,0000000421555946
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",NSW1,551.747,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",QLD1,812.159,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",QLDC,60.713,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",QLDN,249.079,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",QLDS,502.366,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",SA1,425.431,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",TAS1,48.309,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",TASN,27.775,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",TASS,20.535,0.6,SATELLITE,"2024/06/01 09:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/01 09:30:00",VIC1,764.296,0.6,SATELLITE,"2024/06/01 09:50:21"
C,"END OF REPORT",13
