C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/05,14:00:02,0000000422006684,DEMAND,0000000422006683
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",NSW1,1371.277,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",QLD1,2491.076,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",QLDC,191.986,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",QLDN,492.941,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",QLDS,1806.149,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",SA1,788.628,0.6,SATELLITE,"2024/06/05 13:50:21"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",TAS1,67.641,0.6,SATELLITE,"2024/06/05 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",TASN,40.727,0.6,SATELLITE,"2024/06/05 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",TASS,26.914,0.6,SATELLITE,"2024/06/05 13:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/05 13:30:00",VIC1,779.078,0.6,SATELLITE,"2024/06/05 13:50:22"
C,"END OF REPORT",13
