C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,07:30:02,0000000423427996,DEMAND,0000000423427995
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",NSW1,20.608,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",QLD1,107.953,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",QLDC,12.221,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",QLDN,10.615,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",QLDS,85.117,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",SA1,0,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",TAS1,0,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",TASN,0,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",TASS,0,0.6,SATELLITE,"2024/06/18 07:20:24"
D,ROOFTOP,ACTUAL,2,"2024/06/18 07:00:00",VIC1,0,0.6,SATELLITE,"2024/06/18 07:20:25"
C,"END OF REPORT",13
