C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/30,09:00:02,0000000421325812,DEMAND,0000000421325811
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",NSW1,1028.959,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",QLD1,1234.749,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",QLDC,127.133,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",QLDN,158.603,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",QLDS,949.013,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",SA1,33.786,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",TAS1,11.75,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",TASN,7.533,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",TASS,4.217,0.6,SATELLITE,"2024/05/30 08:50:25"
D,ROOFTOP,ACTUAL,2,"2024/05/30 08:30:00",VIC1,173.867,0.6,SATELLITE,"2024/05/30 08:50:25"
C,"END OF REPORT",13
