C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,15:30:02,0000000423467455,DEMAND,0000000423467454
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",NSW1,1416.117,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",QLD1,1630.593,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",QLDC,164.987,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",QLDN,349.024,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",QLDS,1116.582,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",SA1,346.445,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",TAS1,36.042,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",TASN,24.659,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",TASS,11.383,0.6,SATELLITE,"2024/06/18 15:20:27"
D,ROOFTOP,ACTUAL,2,"2024/06/18 15:00:00",VIC1,778.81,0.6,SATELLITE,"2024/06/18 15:20:27"
C,"END OF REPORT",13
