C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/17,08:00:02,0000000423309509,DEMAND,0000000423309508
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",NSW1,153.697,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",QLD1,426.242,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",QLDC,43.719,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",QLDN,57.144,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",QLDS,325.378,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",SA1,0,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",TAS1,0,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",TASN,0,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",TASS,0,0.6,SATELLITE,"2024/06/17 07:50:24"
D,ROOFTOP,ACTUAL,2,"2024/06/17 07:30:00",VIC1,3.223,0.6,SATELLITE,"2024/06/17 07:50:24"
C,"END OF REPORT",13
