C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/05/30,16:30:02,0000000421363947,DEMAND,0000000421363946
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",NSW1,521.937,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",QLD1,660.844,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",QLDC,61.536,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",QLDN,152.948,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",QLDS,446.36,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",SA1,400.648,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",TAS1,6.492,0.6,SATELLITE,"2024/05/30 16:20:23"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",TASN,3.544,0.6,SATELLITE,"2024/05/30 16:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",TASS,2.948,0.6,SATELLITE,"2024/05/30 16:20:24"
D,ROOFTOP,ACTUAL,2,"2024/05/30 16:00:00",VIC1,155.185,0.6,SATELLITE,"2024/05/30 16:20:24"
C,"END OF REPORT",13
